datetime,predicted_energy,hour,target_error
2025-08-01 00:00:00,274.2565493862888,0,61.54345061371123
2025-08-01 01:00:00,306.07639705374635,1,54.92360294625365
2025-08-01 02:00:00,298.73216807320387,2,68.06783192679615
2025-08-01 03:00:00,288.27152601666137,3,63.828473983338654
2025-08-01 04:00:00,256.71874196011896,4,37.58125803988105
2025-08-01 05:00:00,226.1903031035765,5,82.20969689642348
2025-08-01 06:00:00,125.87658184703398,6,182.023418152966
2025-08-01 07:00:00,98.93880459049154,7,123.66119540950844
2025-08-01 08:00:00,162.7032873339491,8,50.796712666050894
2025-08-01 09:00:00,252.81698967740653,9,72.78301032259344
2025-08-01 10:00:00,395.81126882086414,10,88.18873117913586
2025-08-01 11:00:00,433.5788275643217,11,41.12117243567826
2025-08-01 12:00:00,419.8996663077792,12,65.0003336922208
2025-08-01 13:00:00,352.0314102512368,13,55.56858974876326
2025-08-01 14:00:00,416.5345157946943,14,26.165484205305688
2025-08-01 15:00:00,415.9679505381517,15,55.13204946184828
2025-08-01 16:00:00,390.1512492816093,16,75.3487507183907
2025-08-01 17:00:00,394.36818002506686,17,77.43181997493315
2025-08-01 18:00:00,368.0955387685244,18,113.70446123147563
2025-08-01 19:00:00,323.6934715119819,19,88.3065284880181
2025-08-01 20:00:00,287.5471962554395,20,77.15280374456052
2025-08-01 21:00:00,301.97331495889694,21,66.72668504110305
2025-08-01 22:00:00,301.9682472623545,22,77.43175273764547
2025-08-01 23:00:00,296.90252568581207,23,77.69747431418796
2025-08-02 00:00:00,273.14637522926955,0,75.95362477073047
2025-08-02 01:00:00,304.9662228967271,1,51.43377710327286
2025-08-02 02:00:00,297.62199391618464,2,71.97800608381539
2025-08-02 03:00:00,287.16135185964214,3,69.23864814035784
2025-08-02 04:00:00,255.6085678030997,4,64.49143219690032
2025-08-02 05:00:00,225.08012894655727,5,110.31987105344272
2025-08-02 06:00:00,124.76640769001474,6,102.03359230998528
2025-08-02 07:00:00,97.82863043347233,7,55.17136956652769
2025-08-02 08:00:00,161.59311317692988,8,79.00688682307012
2025-08-02 09:00:00,251.70681552038727,9,80.69318447961263
2025-08-02 10:00:00,394.7010946638449,10,83.99890533615508
2025-08-02 11:00:00,432.4686534073024,11,78.73134659269755
2025-08-02 12:00:00,418.78949215076,12,85.81050784924003
2025-08-02 13:00:00,350.92123609421753,13,42.67876390578249
2025-08-02 14:00:00,415.4243416376751,14,86.37565836232494
2025-08-02 15:00:00,414.85777638113257,15,100.5422236188674
2025-08-02 16:00:00,389.0410751245901,16,73.45892487540988
2025-08-02 17:00:00,393.2580058680477,17,101.04199413195232
2025-08-02 18:00:00,366.9853646115052,18,117.11463538849485
2025-08-02 19:00:00,322.5832973549627,19,86.11670264503726
2025-08-02 20:00:00,286.4370220984203,20,84.0629779015797
2025-08-02 21:00:00,300.86314080187776,21,85.43685919812225
2025-08-02 22:00:00,300.85807310533534,22,88.34192689466465
2025-08-02 23:00:00,295.7923515287929,23,76.60764847120709
2025-08-03 00:00:00,272.0362010722504,0,57.3637989277496
2025-08-03 01:00:00,303.85604873970794,1,66.64395126029206
2025-08-03 02:00:00,296.51181975916546,2,69.98818024083454
2025-08-03 03:00:00,286.05117770262297,3,63.748822297377046
2025-08-03 04:00:00,254.49839364608053,4,59.20160635391946
2025-08-03 05:00:00,223.9699547895381,5,83.63004521046193
2025-08-03 06:00:00,123.65623353299556,6,104.94376646700442
2025-08-03 07:00:00,96.71845627645314,7,61.28154372354686
2025-08-03 08:00:00,160.4829390199107,8,5.417060980089303
2025-08-03 09:00:00,250.59664136336812,9,25.3033586366318
2025-08-03 10:00:00,393.59092050682574,10,-13.990920506825717
2025-08-03 11:00:00,431.35847925028327,11,-27.258479250283244
2025-08-03 12:00:00,417.6793179937408,12,1.320682006259176
2025-08-03 13:00:00,349.8110619371984,13,0.2889380628016624
2025-08-03 14:00:00,414.3141674806559,14,-33.61416748065591
2025-08-03 15:00:00,413.7476022241134,15,-48.847602224113416
2025-08-03 16:00:00,387.93090096757095,16,-78.33090096757093
2025-08-03 17:00:00,392.1478317110285,17,-270.4478317110285
2025-08-03 18:00:00,365.875190454486,18,-266.27519045448605
2025-08-03 19:00:00,321.47312319794355,19,-235.1731231979436
2025-08-03 20:00:00,285.3268479414011,20,-195.7268479414012
2025-08-03 21:00:00,299.7529666448586,21,-195.85296664485853
2025-08-03 22:00:00,299.74789894831616,22,-200.04789894831617
2025-08-03 23:00:00,294.6821773717737,23,-195.58217737177367
2025-07-28 00:00:00,235.45270213071885,0,-35.25270213071886
2025-07-28 01:00:00,267.3542848423116,1,-42.55428484231152
2025-07-28 02:00:00,259.71058811390424,2,-39.21058811390424
2025-07-28 03:00:00,249.44560590549693,3,-42.34560590549694
2025-07-28 04:00:00,217.8973444970896,4,-80.09734449708958
2025-07-28 05:00:00,186.78076588868228,5,-109.68076588868227
2025-07-28 06:00:00,84.70889728027495,6,12.091102719725043
2025-07-28 07:00:00,58.89224867186755,7,30.20775132813245
2025-07-28 08:00:00,123.5621080634603,8,72.13789193653969
2025-07-28 09:00:00,213.23285625505295,9,93.167143744947
2025-07-28 10:00:00,354.93404684664563,10,118.36595315335438
2025-07-28 11:00:00,392.3863742382383,11,140.11362576176168
2025-07-28 12:00:00,378.670313629831,12,153.429686370169
2025-07-28 13:00:00,312.1940682214236,13,119.40593177857642
2025-07-28 14:00:00,375.6926684130164,14,119.70733158698364
2025-07-28 15:00:00,373.92461980460905,15,141.775380195391
2025-07-28 16:00:00,348.1026071962017,16,159.7973928037983
2025-07-28 17:00:00,353.0788945877943,17,134.32110541220567
2025-07-28 18:00:00,326.057133979387,18,182.84286602061297
2025-07-28 19:00:00,282.1722089709796,19,150.82779102902035
2025-07-28 20:00:00,245.41472876257228,20,126.38527123742772
2025-07-28 21:00:00,259.41745403416496,21,123.28254596583504
2025-07-28 22:00:00,259.51577346575766,22,126.68422653424231
2025-07-28 23:00:00,254.1462041373504,23,141.55379586264962
2025-07-29 00:00:00,231.76907152894304,0,126.53092847105697
2025-07-29 01:00:00,263.6706542405357,1,134.6293457594643
2025-07-29 02:00:00,256.0269575121283,2,117.67304248787168
2025-07-29 03:00:00,245.76197530372104,3,104.63802469627896
2025-07-29 04:00:00,214.21371389531373,4,111.48628610468626
2025-07-29 05:00:00,183.0971352869064,5,100.40286471309358
2025-07-29 06:00:00,81.0252666784991,6,90.4747333215009
2025-07-29 07:00:00,55.20861807009175,7,86.69138192990826
2025-07-29 08:00:00,119.87847746168444,8,74.92152253831557
2025-07-29 09:00:00,209.54922565327703,9,94.15077434672293
2025-07-29 10:00:00,351.2504162448698,10,131.44958375513016
